No.,(mm),(Mpa),(Gpa),(mm),(mm),(mm),(kN)
424      ,100,32,272.66,0.167,50,100,18.27
425      ,100,32,272.66,0.167,50,300,17.86
426      ,100,32,272.66,0.167,50,300,18.6
427      ,100,41.5,272.66,0.167,50,50,18.44
428      ,100,41.5,272.66,0.167,50,50,17.6
429      ,100,41.5,272.66,0.167,50,50,17.22
430      ,100,41.5,272.66,0.167,50,80,18.62
431      ,100,41.5,272.66,0.167,50,80,17.93
432      ,100,41.5,272.66,0.167,50,80,19.29
433      ,100,41.5,272.66,0.167,50,100,18.15
434      ,100,41.5,272.66,0.167,50,100,20.59
435      ,100,41.5,272.66,0.167,50,100,20.16
436      ,100,41.5,272.66,0.167,50,300,20.72
437      ,100,41.5,272.66,0.167,50,300,20.82
438      ,100,41.5,272.66,0.167,50,300,23.87
439      ,100,51.6,272.66,0.167,50,50,19.39
440      ,100,51.6,272.66,0.167,50,50,19.44
441      ,100,51.6,272.66,0.167,50,50,18.63
442      ,100,51.6,272.66,0.167,50,80,18.72
443      ,100,51.6,272.66,0.167,50,80,20.2
444      ,100,51.6,272.66,0.167,50,80,20.9
445      ,100,51.6,272.66,0.167,50,100,20.5
446      ,100,51.6,272.66,0.167,50,100,20.94
447      ,100,51.6,272.66,0.167,50,100,19.1
448      ,100,51.6,272.66,0.167,50,300,20.87
449      ,100,51.6,272.66,0.167,50,300,20.19
450      ,200,55.29,170,1.25,50,100,17.3
451      ,200,62.66,170,1.25,50,200,27.5
452      ,200,68.33,170,1.25,50,300,35.1
453      ,200,17,110,0.825,50,100,11.64
454      ,200,17,110,0.99,50,100,12.86
455      ,200,46.2,110,0.495,50,100,12.55
456      ,200,46.2,110,0.66,50,100,14.25
457      ,200,46.2,110,0.825,50,100,17.72
458      ,200,46.2,110,0.99,50,100,18.86
459      ,200,61.5,110,0.495,50,100,13.24
460      ,200,61.5,110,0.66,50,100,15.17
461      ,200,61.5,110,0.825,50,100,18.86
462      ,200,61.5,110,0.99,50,100,19.03
463      ,160,19,175,1.3,60,300,33.18
464      ,160,19,175,1.3,60,300,29.86
465      ,160,19,175,1.3,60,300,31.88
466      ,160,19,109,1.6,100,300,49.41
467      ,160,19,109,1.6,100,300,47.72
468      ,160,19,166,1.2,100,300,49.85
469      ,160,19,166,1.2,100,300,48.05
470      ,160,19,166,1.2,100,300,52.6
471      ,160,19,171,1.25,100,300,41.25
472      ,160,19,171,1.25,100,300,38.14
473      ,160,19,221,1.7,100,300,54.79
474      ,160,19,221,1.7,100,300,51.41
475      ,160,19,221,1.7,100,300,54.57
476      ,150,37.55,140,1.4,50,250,39.78
477      ,150,32.78,140,1.4,50,250,31
478      ,150,35.7,140,1.4,50,200,35.65
479      ,228.6,28.88,108.48,1.016,25.4,76,8.46
480      ,228.6,37.68,108.48,1.016,25.4,76,9.93
481      ,228.6,48.87,108.48,1.016,25.4,76,10.64
482      ,228.6,48.87,108.48,1.016,25.4,76,10.64
483      ,228.6,45.24,108.48,1.016,25.4,76,10.53
484      ,228.6,45.24,108.48,1.016,25.4,76,9.61
485      ,228.6,45.24,108.48,1.016,25.4,76,10.52
486      ,228.6,45.24,108.48,1.016,25.4,76,11.2
487      ,228.6,24,108.48,1.016,25.4,76,9.87
488      ,228.6,28.9,108.48,1.016,25.4,76,9.34
489      ,228.6,45.34,108.48,1.016,25.4,76,11.2
490      ,228.6,36.4,108.48,1.016,25.4,51,8.09
491      ,228.6,36.4,108.48,1.016,25.4,102,12.81
492      ,152.4,36.4,108.48,1.016,25.4,152,11.92
493      ,152.4,36.4,108.48,1.016,25.4,203,11.57
494      ,200,24,152.2,1.4,30,50,5.15
495      ,200,24,152.2,1.4,10,100,7.55
496      ,200,24,152.2,1.4,10,150,7.7
497      ,200,24,152.2,1.4,10,200,7.9
498      ,200,24,152.2,1.4,10,250,6.25
499      ,200,24,152.2,1.4,10,300,7.58
500      ,200,32,152.2,1.4,10,50,5.1
501      ,200,32,152.2,1.4,10,100,6.85
502      ,200,32,152.2,1.4,10,150,6.35
503      ,200,32,152.2,1.4,10,200,6.95
504      ,200,32,152.2,1.4,10,250,6.8
505      ,200,32,152.2,1.4,10,300,6.4
506      ,200,40,152.2,1.4,10,50,4.55
507      ,200,40,152.2,1.4,10,100,7.1
508      ,200,40,152.2,1.4,10,150,7.78
509      ,200,40,152.2,1.4,10,200,7.65
510      ,200,40,152.2,1.4,10,250,6.8
511      ,200,40,152.2,1.4,10,300,7.25
512      ,200,24,152.2,1.4,10,50,9.3
513      ,200,24,152.2,1.4,30,100,16.25
514      ,200,24,152.2,1.4,30,150,16.2
515      ,200,24,152.2,1.4,30,250,15.6
516      ,200,24,152.2,1.4,30,300,15.85
517      ,200,32,152.2,1.4,30,50,9.15
518      ,200,32,152.2,1.4,30,100,14.9
519      ,200,32,152.2,1.4,30,150,16.05
520      ,200,32,152.2,1.4,30,200,16.15
521      ,200,32,152.2,1.4,30,250,16.11
522      ,200,32,152.2,1.4,30,300,16.9
523      ,200,40,152.2,1.4,30,50,9.2
524      ,200,40,152.2,1.4,30,100,17.8
525      ,200,40,152.2,1.4,30,150,15.22
526      ,200,40,152.2,1.4,30,200,18.5
527      ,200,40,152.2,1.4,30,250,19
528      ,200,40,152.2,1.4,30,300,17.73
529      ,200,24,152.2,1.4,30,50,13.3
530      ,200,24,152.2,1.4,30,100,26
531      ,200,24,152.2,1.4,30,150,27.8
532      ,200,24,152.2,1.4,30,200,27.2
533      ,200,24,152.2,1.4,30,250,24.84
534      ,200,32,152.2,1.4,40,50,10.7
535      ,200,32,152.2,1.4,40,100,24.5
536      ,200,32,152.2,1.4,40,150,27.45
537      ,200,32,152.2,1.4,40,200,19.3
538      ,200,32,152.2,1.4,40,250,21.9
539      ,200,32,152.2,1.4,40,300,27.3
540      ,200,40,152.2,1.4,50,50,10.8
541      ,200,40,152.2,1.4,50,100,16
542      ,200,40,152.2,1.4,50,150,21.25
543      ,200,40,152.2,1.4,50,200,25
544      ,200,40,152.2,1.4,50,250,24.9
545      ,150,25.3,248.3,0.167,50,30,9.36
546      ,150,25.42,248.3,0.167,50,50,11.89
547      ,150,25.42,248.3,0.167,50,100,15.91
548      ,150,25.3,248.3,0.167,50,250,16.59
549      ,150,25.3,244.6,0.167,50,30,7.38
550      ,150,25.3,244.6,0.167,50,50,18.95
551      ,150,25.3,244.6,0.167,50,100,22.09
552      ,150,25.3,244.6,0.167,50,250,23.76
553      ,150,25.3,244.6,0.167,50,400,23.41
554      ,150,25.42,238.1,0.167,50,30,11.61
555      ,150,25.42,238.1,0.167,50,50,19.67
556      ,150,25.42,238.1,0.167,50,100,23.41
557      ,150,25.42,238.1,0.167,50,250,24.17
558      ,150,32.92,248.3,0.167,50,30,13.29
559      ,150,32.92,248.3,0.167,50,50,14.27
560      ,150,32.92,248.3,0.167,50,100,18.42
561      ,150,33.96,248.3,0.167,50,250,18.42
562      ,150,32.92,244.6,0.167,50,30,8.99
563      ,150,32.92,244.6,0.167,50,50,13.66
564      ,150,32.92,244.6,0.167,50,100,23.73
565      ,150,32.92,244.6,0.167,50,250,26.93
566      ,150,32.92,244.6,0.167,50,400,28.16
567      ,150,33.96,238.1,0.167,50,30,13.49
568      ,150,33.96,238.1,0.167,50,50,18.84
569      ,150,33.96,238.1,0.167,50,100,24.72
570      ,150,33.96,238.1,0.167,50,250,30.15
571      ,150,45.15,248.3,0.167,50,30,10.05
572      ,150,45.15,248.3,0.167,50,50,13.05
573      ,150,45.15,248.3,0.167,50,100,16.15
574      ,150,45.15,248.3,0.167,50,250,19.27
575      ,150,45.15,244.6,0.167,50,30,14.19
576      ,150,45.15,244.6,0.167,50,50,14.53
577      ,150,45.15,244.6,0.167,50,100,18.31
578      ,150,45.15,244.6,0.167,50,250,22.75
579      ,150,45.15,244.6,0.167,50,400,17.85
580      ,150,43.13,238.1,0.167,50,30,14.28
581      ,150,43.13,238.1,0.167,50,50,16.37
582      ,150,43.13,238.1,0.167,50,100,23.23
583      ,150,43.13,238.1,0.167,50,250,26.88
584      ,150,45.04,248.3,0.167,50,30,12.63
585      ,150,46.05,248.3,0.167,50,50,14.5
586      ,150,45.04,248.3,0.167,50,100,16.43
587      ,150,46.05,248.3,0.167,50,250,17.5
588      ,150,45.04,244.6,0.167,50,30,13.73
589      ,150,45.04,244.6,0.167,50,50,17.2
590      ,150,45.04,244.6,0.167,50,100,21.05
591      ,150,45.04,244.6,0.167,50,250,22.99
592      ,150,45.04,244.6,0.167,50,400,22.52
593      ,150,46.05,238.1,0.167,50,30,12.54
594      ,150,46.05,238.1,0.167,50,50,20.8
595      ,150,46.05,238.1,0.167,50,100,25.05
596      ,150,46.05,238.1,0.167,50,250,26.44
597      ,150,56.41,248.3,0.167,50,30,13.64
598      ,150,56.41,248.3,0.167,50,50,15.7
599      ,150,59.02,248.3,0.167,50,100,15.14
600      ,150,56.41,248.3,0.167,50,250,17.64
601      ,150,56.41,244.6,0.167,50,30,14.77
602      ,150,59.02,244.6,0.167,50,50,16.84
603      ,150,56.41,244.6,0.167,50,100,18.94
604      ,150,56.41,244.6,0.167,50,250,21.14
605      ,150,56.41,244.6,0.167,50,400,24.48
606      ,150,59.02,238.1,0.167,50,30,11.64
607      ,150,59.02,238.1,0.167,50,50,21.24
608      ,150,59.02,238.1,0.167,50,100,21.89
609      ,150,59.02,238.1,0.167,50,250,24.99
610      ,400,35,230,0.11,100,330,27
611      ,400,35,230,0.22,100,330,40.2
612      ,400,35,230,0.33,100,330,42.9
613      ,400,35,230,0.11,100,330,30.5
614      ,400,35,230,0.22,100,330,51
615      ,400,35,230,0.33,100,330,47.4
616      ,400,35,230,0.11,100,330,31.8
617      ,400,35,230,0.22,100,330,51
618      ,400,33.1,230,0.11,100,210,24.5
619      ,400,33.1,230,0.11,100,210,24.5
620      ,400,33.1,230,0.22,100,210,33.5
621      ,400,33.1,230,0.33,100,210,35.4
622      ,400,33.1,230,0.33,100,210,33
623      ,400,35,83.6,0.118,100,330,15.6
624      ,400,35,83.6,0.354,100,330,28.6
625      ,400,35,83.6,0.354,100,330,32.7
626      ,400,35,83.6,0.59,100,330,33.4
627      ,400,35,74,0.223,100,330,25.5
628      ,400,35,74,0.381,100,330,33.6
629      ,100,30.8,97,0.169,50,70,6.46
630      ,100,30.8,97,0.169,50,70,6.66
631      ,100,30.8,97,0.169,50,130,10.49
632      ,100,30.8,97,0.169,50,130,11.43
633      ,100,30.8,235,0.111,50,130,7.97
634      ,100,30.8,235,0.111,50,130,9.19
635      ,100,28.66,32.7,4,30,100,12.5
636      ,100,28.66,32.7,4,30,150,17.74
637      ,100,28.66,32.7,4,30,175,20.5
638      ,100,28.66,32.7,4,30,200,20.6
639      ,100,28.66,32.7,4,30,250,20.4
640      ,100,28.66,32.7,4,30,300,20.3
641      ,100,23.76,165,1.2,50,100,18.25
642      ,100,23.76,165,1.2,50,130,24.5
643      ,100,23.76,165,1.2,50,150,28.44
644      ,100,23.76,165,1.2,50,175,32
645      ,100,23.76,165,1.2,50,200,34.22
646      ,100,23.76,165,1.2,50,255,33.14
647      ,100,23.76,165,1.2,50,300,34.24
648      ,100,28.66,210,1.2,50,150,30.4
649      ,100,28.66,210,1.2,50,180,34
650      ,100,28.66,210,1.2,50,190,36
651      ,100,28.66,210,1.2,50,200,36.02
652      ,100,28.66,210,1.2,50,230,37.02
653      ,100,28.66,210,1.2,50,255,36.8
654      ,100,23.76,300,1.2,50,160,38.02
655      ,100,23.76,300,1.2,50,180,41.15
656      ,100,23.76,300,1.2,50,200,46.35
657      ,100,23.76,300,1.2,50,250,45.5
658      ,100,23.76,300,1.2,50,300,45.95
659      ,200,41.2,162,1.2,50,200,27.5
660      ,200,41.2,162,1.2,50,300,26.9
661      ,150,8,344.5,0.111,100,120,12.54
662      ,150,8,344.5,0.111,100,120,11.46
663      ,150,8,344.5,0.111,100,120,12.75
664      ,150,16,344.5,0.111,100,120,16.94
665      ,150,16,344.5,0.111,100,120,17.34
666      ,150,36,356.75,0.111,50,90,8.41
667      ,150,36,356.75,0.111,50,100,8.31
668      ,150,36,356.75,0.111,75,90,12.65
669      ,150,36,240.72,0.111,50,60,7.13
670      ,150,36,240.72,0.111,50,90,7.79
671      ,150,36,240.72,0.111,75,50,10.63
672      ,150,24,230,0.17,100,100,22
673      ,150,24.8,230,0.17,100,100,20.1
674      ,150,33.1,230,0.17,100,150,20.45
675      ,150,33.1,230,0.33,100,100,25.9
676      ,150,32.7,230,0.22,100,100,28.25
677      ,150,36.5,230,0.11,100,150,16.75
678      ,150,29.7,230,0.22,100,100,24.6
679      ,100,32.6,230,0.17,70,50,12.45
680      ,100,32.6,230,0.17,70,100,15.47
681      ,100,32.6,230,0.17,70,200,14.9
682      ,100,32.6,230,0.17,70,300,17.33
683      ,100,60.3,230,0.17,70,50,14.26
684      ,100,60.3,230,0.17,70,100,15.6
685      ,100,60.3,230,0.17,70,200,16.27
686      ,100,60.3,230,0.17,70,300,17.93
687      ,100,32.6,230,0.84,70,50,19.35
688      ,100,32.6,230,0.84,70,100,25.1
689      ,100,32.6,230,0.84,70,200,29.1
690      ,100,32.6,230,0.84,70,300,31.13
691      ,100,32.6,230,0.17,30,100,7.8
692      ,100,32.6,230,0.17,30,300,9.05
693      ,100,24.1,230,0.17,70,200,8.5
694      ,100,31.1,230,0.17,70,200,9.9
695      ,100,39,230,0.17,70,200,15.63
696      ,100,35.2,230,0.17,70,200,16.5
697      ,100,43.4,230,0.17,70,200,19.02
698      ,100,58,230,0.17,70,200,19.23
699      ,100,70,230,0.17,70,200,20
700      ,100,43.4,230,0.5,70,200,25.93
701      ,100,43.4,230,0.84,70,200,29.73
702      ,100,43.4,230,0.17,30,200,10.27
703      ,80,23,42.657,1.12,40,230,13.66
704      ,80,23,42.657,1.12,40,230,14.62
705      ,80,23,42.657,1.12,40,200,13.16
706      ,80,23,42.657,1.12,40,200,13.64
707      ,80,23,42.657,1.12,40,200,12.86
708      ,80,30.8,42.657,1.12,40,230,14.64
709      ,80,30.8,42.657,1.12,40,230,15.88
710      ,80,30.8,42.657,1.12,40,200,16.29
711      ,80,30.8,42.657,1.12,40,200,16.94
712      ,80,30.8,42.657,1.12,40,200,16.57
713      ,80,74.5,42.657,1.12,40,230,16.33
714      ,80,74.5,42.657,1.12,40,230,18.09
715      ,80,74.5,42.657,1.12,40,230,18.29
716      ,80,74.5,42.657,1.12,40,200,15.22
717      ,80,74.5,42.657,1.12,40,200,15.99
718      ,80,74.5,42.657,1.12,40,200,15.88
719      ,80,28.2,42.657,1.55,40,200,10.95
720      ,80,28.2,42.657,1.65,40,200,11.92
721      ,80,28.2,42.657,1.5,40,200,11.01
722      ,80,28.2,42.657,1.03,40,200,9.52
723      ,80,28.2,42.657,1.12,40,200,11.17
724      ,80,28.2,42.657,1.12,40,200,12.45
725      ,80,28.2,43.537,1.7,40,200,12.79
726      ,80,28.2,43.537,1.65,40,200,11.84
727      ,80,28.2,43.537,1.65,40,200,11.05
728      ,80,28.2,43.537,1.8,40,200,13.5
729      ,80,28.2,43.537,1.5,40,200,12.16
730      ,80,28.2,43.537,1.65,40,200,12.82
731      ,80,39.1,42.657,1.45,40,200,11.38
732      ,80,39.1,42.657,1.4,40,200,11.14
733      ,80,39.1,42.657,1.5,40,200,11.64
734      ,80,39.1,42.657,1.12,40,200,11.68
735      ,80,39.1,42.657,1.12,40,200,11.47
736      ,80,39.1,42.657,1.12,40,200,11.03
737      ,80,39.1,43.537,1.7,40,200,12.9
738      ,80,39.1,43.537,1.65,40,200,13.55
739      ,80,39.1,43.537,1.7,40,200,13.53
740      ,80,39.1,43.537,1.7,40,200,13.05
741      ,80,39.1,43.537,1.65,40,200,14.04
742      ,80,39.1,43.537,1.7,40,200,15.03
743      ,250,43.5,227,0.393,50,250,15.73
744      ,250,43.5,227,0.393,50,250,16.03
745      ,200,43.5,224,0.393,75,250,24.27
746      ,200,43.5,224,0.393,75,250,25.66
747      ,200,43.5,224,0.393,100,250,33.48
748      ,200,43.5,224,0.393,100,250,32.38
749      ,200,43.5,227,0.393,125,250,41.28
750      ,200,43.5,227,0.393,125,250,39.54
751      ,200,43.5,227,0.393,150,250,51.65
752      ,200,43.5,227,0.393,150,250,52.49
753      ,200,38.9,227,0.262,50,250,14.36
754      ,200,38.9,227,0.262,50,250,14.36
755      ,200,38.9,227,0.3939,50,250,16.49
756      ,200,38.9,227,0.393,50,250,16.81
757      ,200,38.9,227,0.524,50,250,19.45
758      ,200,38.9,227,0.524,50,250,18.37
759      ,200,38.9,227,0.655,50,250,19.57
760      ,200,38.9,227,0.655,50,250,20.34
761      ,200,38.9,94,0.51,50,250,13.03
762      ,200,38.9,94,0.51,50,250,13.8
763      ,150,27.7,210,1.4,100,300,52.5
764      ,150,27.7,210,1.4,100,300,47.3
765      ,150,27.7,210,1.4,100,300,52
766      ,150,31.4,165,1.3,60,300,27.5
767      ,150,31.4,165,1.3,60,300,25.6
768      ,150,30.2,175,1,100,300,46.9
769      ,150,30.2,175,1,100,300,48.2
770      ,150,30.2,175,1,100,300,52.9
771      ,150,27.7,165,1.2,100,300,36.5
772      ,150,27.7,165,1.2,100,300,38.5
773      ,150,27.7,165,1.2,100,300,36.4
774      ,150,30.2,170,1.4,100,300,55.3
775      ,150,30.2,170,1.4,100,300,56.5
776      ,100,63,230,0.165,50,72.5,20
777      ,100,58,390,0.165,50,87.5,18.8
778      ,100,58,390,0.165,50,65,12.1
779      ,100,63,230,0.33,50,77.5,21.7
780      ,100,58,230,0.33,50,85,24.7
781      ,100,58,230,0.33,50,77.5,28.2
782      ,100,63,230,0.495,50,106,28.4
783      ,100,58,230,0.495,50,108,26
784      ,100,58,230,0.495,50,107.5,29.3
785      ,100,63,390,0.33,50,107.5,25.5
786      ,100,58,390,0.33,50,100,27.1
787      ,100,63,390,0.495,50,107.5,26.4
788      ,100,63,390,0.495,50,130,29.7
789      ,100,58,390,0.495,50,120,29.8
790      ,100,45.8,270,0.111,50,150,10.5
791      ,100,45.8,270,0.111,50,150,10.8
792      ,100,36.3,270,0.111,50,150,11.3
793      ,100,34.9,270,0.111,10,145,3.1
794      ,100,36.3,270,0.111,10,250,2.9
795      ,100,36.3,270,0.111,20,145,4.9
796      ,100,36.3,270,0.111,20,175,4.4
797      ,100,34.9,270,0.111,30,100,6.4
798      ,100,34.9,270,0.111,30,175,7.4
799      ,100,38.8,270,0.111,30,250,6.4
800      ,100,36.3,270,0.111,50,250,11.3
801      ,100,41.5,270,0.111,70,175,14.9
802      ,100,41.5,270,0.111,90,175,14.7
803      ,100,35.1,270,0.222,30,175,14.5
804      ,100,53.4,270,0.111,30,175,8.7
805      ,100,75.5,270,0.111,30,175,4.8
806      ,100,42.4,270,0.111,30,175,6.1
807      ,100,23.8,261.1,0.167,50,300,15.7
808      ,100,23.8,261.1,0.167,50,300,14.7
809      ,100,57.6,261.1,0.083,50,300,11.5
810      ,100,57.6,261.1,0.167,50,300,16.4
811      ,100,57.6,261.1,0.334,50,300,25.6
812      ,100,57.6,425.1,0.165,50,300,21.6
813      ,100,47.1,261.1,0.084,50,300,9.4
814      ,100,50.9,261.1,0.167,50,300,15.7
815      ,100,47.1,261.1,0.334,50,300,22.3
816      ,100,50.9,425.1,0.165,50,300,16.4
817      ,100,47.8,252.2,0.084,50,300,7
818      ,100,47.8,385.4,0.083,50,300,8.8
819      ,150,24,230,0.167,100,100,22
820      ,150,24.8,230,0.167,100,100,20.1
821      ,150,33.1,230,0.167,100,150,20.5
822      ,150,33.1,230,0.334,100,100,25.9
823      ,150,32.7,230,0.222,100,100,28.3
824      ,150,36.5,230,0.111,100,150,16.8
825      ,150,29.7,230,0.222,100,100,24.6
826      ,150,32,170,1.68,100,300,54.6
827      ,150,32,170,1.68,100,300,52.5
828      ,150,33,175,1.44,100,300,43.5
829      ,150,33,175,1.44,100,300,46.1
830      ,150,33,165,1.23,100,300,56.1
831      ,150,33,165,1.23,100,300,53.5
832      ,150,32,165,1.25,100,300,45.5
833      ,150,32,165,1.25,100,300,47.8
834      ,150,36.8,238,0.131,48,20,7.94
835      ,150,36.8,238,0.131,48,20,7.58
836      ,150,36.8,238,0.131,48,35,9.24
837      ,150,36.8,238,0.131,48,35,9.88
838      ,150,36.8,238,0.131,48,50,9.74
839      ,150,36.8,238,0.131,48,50,9.85
840      ,150,36.5,238,0.131,48,75,9.52
841      ,150,36.5,238,0.131,48,75,9.8
842      ,150,36.5,238,0.131,48,100,9.89
843      ,150,36.5,238,0.131,48,100,9.95
844      ,150,39.1,238,0.131,48,125,9.45
845      ,150,39.1,238,0.131,48,125,10.09
846      ,150,39.1,238,0.131,48,150,9.42
847      ,150,39.1,238,0.131,48,150,9.6
848      ,150,41.1,238,0.131,48,175,9.86
849      ,150,41.1,238,0.131,48,175,10.12
850      ,150,41.1,238,0.131,48,200,9.62
851      ,150,41.1,238,0.131,48,200,9.95
852      ,150,40.6,238,0.131,48,225,9.81
853      ,150,40.6,238,0.131,48,225,9.35
854      ,150,40.6,238,0.131,48,250,9.39
855,150,40.6,238,0.131,48,250,9.67
